
首次上传日期_fs | first_update_fs
最近上传日期_fs | last_update_fs
代码 | stockCode_fs
货币 | currency
标准日期 | standardDate
报告日期 | reportDate
报告类型 | reportType
日期 | date_fs
一、 资产合计 | id_001_bs_ta
净营运资本 | id_002_bs_nwc
流动资产合计 | id_003_bs_tca
流动资产占比 | id_004_bs_tca_ta_r
货币资金 | id_005_bs_cabb
货币资金占比 | id_006_bs_cabb_ta_r
结算备付金 | id_007_bs_sr
拆出资金 | id_008_bs_pwbaofi
交易性金融资产 | id_009_bs_tfa
衍生金融资产(流动) | id_010_bs_cdfa
应收票据及应收账款 | id_011_bs_nraar
(其中) 应收票据 | id_012_bs_nr
(其中) 应收账款 | id_013_bs_ar
应收款项融资 | id_014_bs_rf
预付款项 | id_015_bs_ats
应收保费 | id_016_bs_pr
应收分保账款 | id_017_bs_rir
应收分保合同准备金 | id_018_bs_crorir
其他应收款 | id_019_bs_or
(其中) 应收利息 | id_020_bs_ir
(其中) 应收股利 | id_021_bs_dr
买入返售金融资产 | id_022_bs_fahursa
存货 | id_023_bs_i
合同资产 | id_024_bs_ca
持有待售资产 | id_025_bs_ahfs
发放贷款及垫款(流动) | id_026_bs_claatc
待摊费用 | id_027_bs_pe
一年内到期的非流动资产 | id_028_bs_ncadwioy
其他流动资产 | id_029_bs_oca
流动比率 | id_030_bs_tca_tcl_r
速动比率 | id_031_bs_q_r
非流动资产合计 | id_032_bs_tnca
非流动资产占比 | id_033_bs_tnca_ta_r
重资产占比 | id_034_bs_ah_ta_r
发放贷款及垫款(非流动) | id_035_bs_nclaatc
债权投资 | id_036_bs_cri
其他债权投资 | id_037_bs_ocri
可供出售金融资产(非流动) | id_038_bs_ncafsfa
持有至到期投资 | id_039_bs_htmi
长期应收款 | id_040_bs_ltar
长期股权投资 | id_041_bs_ltei
其他权益工具投资 | id_042_bs_oeii
其他非流动金融资产 | id_043_bs_oncfa
投资性房地产 | id_044_bs_rei
固定资产 | id_045_bs_fa
(其中) 固定资产清理 | id_046_bs_dofa
固定资产占总资产比率 | id_047_bs_fa_ta_r
在建工程 | id_048_bs_cip
(其中) 工程物资 | id_049_bs_es
在建工程占固定资产比率 | id_050_bs_cip_fa_r
生产性生物资产 | id_051_bs_pba
油气资产 | id_052_bs_oaga
公益性生物资产 | id_053_bs_pwba
使用权资产 | id_054_bs_roua
无形资产 | id_055_bs_ia
开发支出 | id_056_bs_rade
商誉 | id_057_bs_gw
商誉占净资产比率 | id_058_bs_gw_toe_r
长期待摊费用 | id_059_bs_ltpe
递延所得税资产 | id_060_bs_dita
其他非流动资产 | id_061_bs_onca
二、 负债合计 | id_062_bs_tl
有息负债 | id_063_bs_lwi
有息负债率 | id_064_bs_lwi_ta_r
资产负债率 | id_065_bs_tl_ta_r
流动负债合计 | id_066_bs_tcl
流动负债占比 | id_067_bs_tcl_tl_r
短期借款 | id_068_bs_stl
向中央银行借款 | id_069_bs_bfcb
拆入资金 | id_070_bs_pfbaofi
衍生金融负债 | id_071_bs_dfl
交易性金融负债 | id_072_bs_tfl
应付票据及应付账款 | id_073_bs_npaap
(其中) 应付票据 | id_074_bs_np
(其中) 应付账款 | id_075_bs_ap
预收账款 | id_076_bs_afc
合同负债 | id_077_bs_cl
卖出回购金融资产 | id_078_bs_fasurpa
吸收存款及同业存放 | id_079_bs_dfcab
代理买卖证券款 | id_080_bs_stoa
代理承销证券款 | id_081_bs_ssoa
应付职工薪酬 | id_082_bs_sawp
应交税费 | id_083_bs_tp
